21,강남역,0,20,38333
241,서울역,3,0,1750
32,강남역,1,7,22499
282,서울역,4,17,19999
309,서울역,5,20,7250
159,강남역,6,14,63666
86,강남역,3,13,75999
133,강남역,5,12,76333
108,강남역,4,11,66999
308,서울역,5,19,10375
320,서울역,6,7,2583
104,강남역,4,7,20999
296,서울역,5,7,4500
317,서울역,6,4,1250
310,서울역,5,21,5750
174,서울역,0,5,1250
267,서울역,4,2,1250
40,강남역,1,15,76999
13,강남역,0,12,32999
90,강남역,3,17,76000
26,강남역,1,1,12999
191,서울역,0,22,2416
214,서울역,1,21,4500
249,서울역,3,8,9500
151,강남역,6,6,12999
321,서울역,6,8,3416
286,서울역,4,21,5250
155,강남역,6,10,37666
200,서울역,1,7,5125
176,서울역,0,7,2250
107,강남역,4,10,60999
69,강남역,2,20,62999
110,강남역,4,13,76999
23,강남역,0,22,26333
163,강남역,6,18,60333
303,서울역,5,14,21666
51,강남역,2,2,14999
258,서울역,3,17,20999
124,강남역,5,3,12999
184,서울역,0,15,7083
105,강남역,4,8,40999
217,서울역,2,0,1500
102,강남역,4,5,10999
165,강남역,6,20,56333
77,강남역,3,4,11999
128,강남역,5,7,20999
188,서울역,0,19,4750
126,강남역,5,5,10999
237,서울역,2,20,7250
307,서울역,5,18,14333
120,강남역,4,23,28999
28,강남역,1,3,10687
302,서울역,5,13,22333
44,강남역,1,19,72000
64,강남역,2,15,77999
170,서울역,0,1,1583
1,강남역,0,0,22999
187,서울역,0,18,5750
127,강남역,5,6,13999
202,서울역,1,9,17851
138,강남역,5,17,79666
287,서울역,4,22,3750
283,서울역,4,18,14999
147,강남역,6,2,19666
135,강남역,5,14,75666
41,강남역,1,16,74999
72,강남역,2,23,25999
262,서울역,3,21,5250
130,강남역,5,9,52999
171,서울역,0,2,1250
293,서울역,5,4,1250
8,강남역,0,7,10999
190,서울역,0,21,2916
46,강남역,1,21,47999
211,서울역,1,18,14999
75,강남역,3,2,12999
322,서울역,6,9,4916
83,강남역,3,10,60999
195,서울역,1,2,1250
17,강남역,0,16,42999
327,서울역,6,14,8916
153,강남역,6,8,18333
29,강남역,1,4,9625
281,서울역,4,16,20999
6,강남역,0,5,12999
250,서울역,3,9,17999
331,서울역,6,18,7250
180,서울역,0,11,4583
177,서울역,0,8,2416
129,강남역,5,8,38999
97,강남역,4,0,18999
228,서울역,2,11,23666
240,서울역,2,23,2250
315,서울역,6,2,1250
263,서울역,3,22,3250
185,서울역,0,16,6583
91,강남역,3,18,85000
246,서울역,3,5,1500
85,강남역,3,12,76999
144,강남역,5,23,37666
94,강남역,3,21,54999
52,강남역,2,3,12999
264,서울역,3,23,2250
99,강남역,4,2,14999
270,서울역,4,5,1750
197,서울역,1,4,1250
291,서울역,5,2,1250
27,강남역,1,2,10999
157,강남역,6,12,54333
66,강남역,2,17,77000
16,강남역,0,15,41666
300,서울역,5,11,20999
35,강남역,1,10,62999
154,강남역,6,9,29666
141,강남역,5,20,71666
178,서울역,0,9,3416
43,강남역,1,18,83000
198,서울역,1,5,1625
273,서울역,4,8,9750
207,서울역,1,14,22999
208,서울역,1,15,22999
95,강남역,3,22,42999
34,강남역,1,9,49356
78,강남역,3,5,10999
20,강남역,0,19,40999
306,서울역,5,17,18999
175,서울역,0,6,1750
150,강남역,6,5,12333
222,서울역,2,5,1500
149,강남역,6,4,14999
279,서울역,4,14,22999
284,서울역,4,19,9750
252,서울역,3,11,22999
68,강남역,2,19,76000
58,강남역,2,9,54999
318,서울역,6,5,1583
259,서울역,3,18,15999
109,강남역,4,12,77999
134,강남역,5,13,76333
111,강남역,4,14,76999
218,서울역,2,1,1250
314,서울역,6,1,1416
63,강남역,2,14,77999
194,서울역,1,1,1250
162,강남역,6,17,60999
92,강남역,3,19,77000
304,서울역,5,15,20999
80,강남역,3,7,20999
117,강남역,4,20,64999
131,강남역,5,10,58999
145,강남역,6,0,26333
136,강남역,5,15,76999
323,서울역,6,10,5916
167,강남역,6,22,42333
101,강남역,4,4,12999
330,서울역,6,17,8583
276,서울역,4,11,21999
56,강남역,2,7,22999
168,강남역,6,23,30999
38,강남역,1,13,78333
81,강남역,3,8,37999
288,서울역,4,23,2500
160,강남역,6,15,64333
269,서울역,4,4,1250
48,강남역,1,23,22999
275,서울역,4,10,20999
60,강남역,2,11,69666
182,서울역,0,13,6750
67,강남역,2,18,84000
268,서울역,4,3,1250
329,서울역,6,16,9666
24,강남역,0,23,18333
298,서울역,5,9,17999
146,강남역,6,1,22999
22,강남역,0,21,32999
121,강남역,5,0,18999
54,강남역,2,5,10999
2,강남역,0,1,20999
299,서울역,5,10,19999
50,강남역,2,1,16999
213,서울역,1,20,6500
230,서울역,2,13,23666
119,강남역,4,22,42999
59,강남역,2,10,62333
247,서울역,3,6,2250
234,서울역,2,17,20999
265,서울역,4,0,1750
261,서울역,3,20,7000
260,서울역,3,19,9750
199,서울역,1,6,2500
11,강남역,0,10,21666
239,서울역,2,22,3250
301,서울역,5,12,22333
336,서울역,6,23,2250
224,서울역,2,7,4500
236,서울역,2,19,10375
325,서울역,6,12,8583
143,강남역,5,22,50999
19,강남역,0,18,42999
328,서울역,6,15,10166
205,서울역,1,12,22999
210,서울역,1,17,20999
201,서울역,1,8,16076
4,강남역,0,3,14999
232,서울역,2,15,22999
196,서울역,1,3,1250
142,강남역,5,21,62333
93,강남역,3,20,63999
271,서울역,4,6,2250
311,서울역,5,22,3916
248,서울역,3,7,4250
118,강남역,4,21,56999
10,강남역,0,9,17666
139,강남역,5,18,86333
87,강남역,3,14,75999
285,서울역,4,20,7250
137,강남역,5,16,74999
326,서울역,6,13,9416
297,서울역,5,8,10999
161,강남역,6,16,62999
204,서울역,1,11,22999
255,서울역,3,14,22999
272,서울역,4,7,4250
106,강남역,4,9,53999
169,서울역,0,0,1750
219,서울역,2,2,1250
227,서울역,2,10,21666
172,서울역,0,3,1250
122,강남역,5,1,16999
74,강남역,3,1,15999
53,강남역,2,4,11999
76,강남역,3,3,12999
231,서울역,2,14,22999
100,강남역,4,3,12999
220,서울역,2,3,1250
186,서울역,0,17,6750
39,강남역,1,14,76999
112,강남역,4,15,78999
332,서울역,6,19,6500
164,강남역,6,19,58999
193,서울역,1,0,1500
70,강남역,2,21,51999
88,강남역,3,15,75999
125,강남역,5,4,11999
15,강남역,0,14,40333
25,강남역,1,0,14999
84,강남역,3,11,68999
61,강남역,2,12,78333
257,서울역,3,16,21999
312,서울역,5,23,2416
229,서울역,2,12,21666
166,강남역,6,21,50333
295,서울역,5,6,2250
30,강남역,1,5,9750
335,서울역,6,22,3083
235,서울역,2,18,16999
152,강남역,6,7,13666
256,서울역,3,15,22999
47,강남역,1,22,35999
45,강남역,1,20,57999
158,강남역,6,13,60999
18,강남역,0,17,44333
212,서울역,1,19,9250
37,강남역,1,12,77666
290,서울역,5,1,1500
79,강남역,3,6,12999
305,서울역,5,16,20999
280,서울역,4,15,22999
89,강남역,3,16,74999
62,강남역,2,13,78333
313,서울역,6,0,1750
123,강남역,5,2,13999
251,서울역,3,10,20999
116,강남역,4,19,79000
254,서울역,3,13,22999
253,서울역,3,12,22999
96,강남역,3,23,28999
215,서울역,1,22,3250
316,서울역,6,3,1250
245,서울역,3,4,1250
140,강남역,5,19,81000
73,강남역,3,0,17999
49,강남역,2,0,16999
189,서울역,0,20,4250
82,강남역,3,9,53999
233,서울역,2,16,21999
71,강남역,2,22,39999
173,서울역,0,4,1250
216,서울역,1,23,2250
319,서울역,6,6,2083
181,서울역,0,12,6416
244,서울역,3,3,1250
206,서울역,1,13,22999
98,강남역,4,1,16999
9,강남역,0,8,13666
103,강남역,4,6,12999
156,강남역,6,11,47666
243,서울역,3,2,1250
209,서울역,1,16,20999
7,강남역,0,6,10999
226,서울역,2,9,18999
289,서울역,5,0,1750
148,강남역,6,3,16999
203,서울역,1,10,20999
113,강남역,4,16,76999
183,서울역,0,14,6416
278,서울역,4,13,22999
14,강남역,0,13,37666
57,강남역,2,8,40999
65,강남역,2,16,77000
324,서울역,6,11,6916
31,강남역,1,6,13499
221,서울역,2,4,1250
274,서울역,4,9,18999
223,서울역,2,6,2250
192,서울역,0,23,1750
115,강남역,4,18,82000
334,서울역,6,21,4083
266,서울역,4,1,1250
33,강남역,1,8,47521
292,서울역,5,3,1250
5,강남역,0,4,14999
36,강남역,1,11,69666
3,강남역,0,2,17666
12,강남역,0,11,27666
42,강남역,1,17,77000
179,서울역,0,10,4250
277,서울역,4,12,20999
242,서울역,3,1,1250
55,강남역,2,6,12999
132,강남역,5,11,68999
333,서울역,6,20,5083
114,강남역,4,17,71999
294,서울역,5,5,1750
225,서울역,2,8,11666
238,서울역,2,21,5250
